total_pkts,arp_pkts,unique_src_macs,arp_ratio,label
1,0,1,0.0,0
60,60,2,1.0,1
174,174,2,1.0,1
150,150,2,1.0,1
156,156,2,1.0,1
132,132,2,1.0,1
72,72,2,1.0,1
144,144,2,1.0,1
174,174,2,1.0,1
222,222,2,1.0,1
126,126,2,1.0,1
162,162,2,1.0,1
162,162,2,1.0,1
174,174,2,1.0,1
174,174,2,1.0,1
132,132,2,1.0,1
126,126,2,1.0,1
138,138,2,1.0,0
162,162,2,1.0,0
150,150,2,1.0,0
174,174,2,1.0,0
168,168,2,1.0,0
174,174,2,1.0,0
174,174,2,1.0,0
474,474,2,1.0,0
156,156,2,1.0,0
156,156,2,1.0,0
90,90,2,1.0,0
168,168,2,1.0,0
174,174,2,1.0,0
168,168,2,1.0,0
174,174,2,1.0,0
174,174,2,1.0,0
222,222,2,1.0,0
126,126,2,1.0,0
174,174,2,1.0,0
132,132,2,1.0,0
126,126,2,1.0,0
78,78,2,1.0,0
174,174,2,1.0,0
174,174,2,1.0,0
174,174,2,1.0,0
174,174,2,1.0,0
210,210,2,1.0,0
150,150,2,1.0,0
144,144,2,1.0,0
144,144,2,1.0,0
120,120,2,1.0,0
78,78,2,1.0,0
166,162,2,0.9759,0
174,174,2,1.0,0
174,174,2,1.0,0
222,222,2,1.0,0
150,150,2,1.0,0
492,492,2,1.0,0
156,156,2,1.0,0
132,132,2,1.0,0
121,120,3,0.9917,0
96,96,2,1.0,0
162,162,2,1.0,0
228,228,2,1.0,0
144,144,2,1.0,0
150,150,2,1.0,0
168,168,2,1.0,0
174,174,2,1.0,0
168,168,2,1.0,0
84,84,2,1.0,0
162,162,2,1.0,0
156,156,2,1.0,0
108,108,2,1.0,0
228,228,2,1.0,0
156,156,2,1.0,0
144,144,2,1.0,0
174,174,2,1.0,0
168,168,2,1.0,0
168,168,2,1.0,0
162,162,2,1.0,0
151,150,3,0.9934,0
144,144,2,1.0,0
150,150,2,1.0,0
120,120,2,1.0,0
170,162,3,0.9529,0
156,156,2,1.0,0
168,168,2,1.0,0
349,348,3,0.9971,0
174,174,2,1.0,0
144,144,2,1.0,0
156,156,2,1.0,0
144,144,2,1.0,0
150,150,2,1.0,0
144,144,2,1.0,0
150,150,2,1.0,0
178,174,3,0.9775,0
168,168,2,1.0,0
174,174,2,1.0,0
174,174,2,1.0,0
8,0,2,0.0,0
5,0,2,0.0,0
17,0,5,0.0,0
3,0,3,0.0,0
4,0,1,0.0,0
13,0,4,0.0,0
3,0,3,0.0,0
4,0,1,0.0,0
4,0,1,0.0,0
5,0,2,0.0,0
4,0,1,0.0,0
3,0,3,0.0,0
4,0,1,0.0,0
4,0,1,0.0,0
4,0,1,0.0,0
1,0,1,0.0,0
4,0,1,0.0,0
1,0,1,0.0,0
2,0,2,0.0,0
4,0,1,0.0,0
4,0,1,0.0,0
4,0,1,0.0,0
1,0,1,0.0,0
4,0,1,0.0,0
1,0,1,0.0,0
1,0,1,0.0,0
1,0,1,0.0,0
60,60,2,1.0,1
168,168,2,1.0,1
16,16,1,1.0,1
10,10,1,1.0,1
28,28,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
30,30,1,1.0,1
28,28,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
35,35,1,1.0,1
24,24,1,1.0,1
19,19,1,1.0,1
22,22,1,1.0,1
28,28,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
17,17,1,1.0,1
29,29,1,1.0,1
29,29,1,1.0,1
34,34,1,1.0,1
